date,nb_objets,saison
2017-04-12 00:00:00+00:00,283,printemps
2017-04-13 00:00:00+00:00,319,printemps
2017-04-14 00:00:00+00:00,304,printemps
2017-04-15 00:00:00+00:00,214,printemps
2017-04-16 00:00:00+00:00,140,printemps
2017-04-17 00:00:00+00:00,141,printemps
2017-04-18 00:00:00+00:00,391,printemps
2017-04-19 00:00:00+00:00,289,printemps
2017-04-20 00:00:00+00:00,307,printemps
2017-04-21 00:00:00+00:00,270,printemps
2017-04-22 00:00:00+00:00,184,printemps
2017-04-23 00:00:00+00:00,125,printemps
2017-04-24 00:00:00+00:00,450,printemps
2017-04-25 00:00:00+00:00,288,printemps
2017-04-26 00:00:00+00:00,274,printemps
2017-04-27 00:00:00+00:00,267,printemps
2017-04-28 00:00:00+00:00,270,printemps
2017-04-29 00:00:00+00:00,213,printemps
2017-04-30 00:00:00+00:00,89,printemps
2017-05-01 00:00:00+00:00,130,printemps
2017-05-02 00:00:00+00:00,399,printemps
2017-05-03 00:00:00+00:00,337,printemps
2017-05-04 00:00:00+00:00,261,printemps
2017-05-05 00:00:00+00:00,300,printemps
2017-05-06 00:00:00+00:00,182,printemps
2017-05-07 00:00:00+00:00,93,printemps
2017-05-08 00:00:00+00:00,103,printemps
2017-05-09 00:00:00+00:00,376,printemps
2017-05-10 00:00:00+00:00,302,printemps
2017-05-11 00:00:00+00:00,282,printemps
2017-05-12 00:00:00+00:00,325,printemps
2017-05-13 00:00:00+00:00,184,printemps
2017-05-14 00:00:00+00:00,101,printemps
2017-05-15 00:00:00+00:00,395,printemps
2017-05-16 00:00:00+00:00,278,printemps
2017-05-17 00:00:00+00:00,271,printemps
2017-05-18 00:00:00+00:00,308,printemps
2017-05-19 00:00:00+00:00,287,printemps
2017-05-20 00:00:00+00:00,225,printemps
2017-05-21 00:00:00+00:00,121,printemps
2017-05-22 00:00:00+00:00,363,printemps
2017-05-23 00:00:00+00:00,326,printemps
2017-05-24 00:00:00+00:00,329,printemps
2017-05-25 00:00:00+00:00,233,printemps
2017-05-26 00:00:00+00:00,296,printemps
2017-05-27 00:00:00+00:00,101,printemps
2017-05-28 00:00:00+00:00,129,printemps
2017-05-29 00:00:00+00:00,458,printemps
2017-05-30 00:00:00+00:00,331,printemps
2017-05-31 00:00:00+00:00,265,printemps
2017-06-01 00:00:00+00:00,335,ete
2017-06-02 00:00:00+00:00,301,ete
2017-06-03 00:00:00+00:00,202,ete
2017-06-04 00:00:00+00:00,113,ete
2017-06-05 00:00:00+00:00,195,ete
2017-06-06 00:00:00+00:00,386,ete
2017-06-07 00:00:00+00:00,358,ete
2017-06-08 00:00:00+00:00,343,ete
2017-06-09 00:00:00+00:00,303,ete
2017-06-10 00:00:00+00:00,247,ete
2017-06-11 00:00:00+00:00,134,ete
2017-06-12 00:00:00+00:00,478,ete
2017-06-13 00:00:00+00:00,351,ete
2017-06-14 00:00:00+00:00,299,ete
2017-06-15 00:00:00+00:00,318,ete
2017-06-16 00:00:00+00:00,353,ete
2017-06-17 00:00:00+00:00,180,ete
2017-06-18 00:00:00+00:00,147,ete
2017-06-19 00:00:00+00:00,425,ete
2017-06-20 00:00:00+00:00,306,ete
2017-06-21 00:00:00+00:00,303,ete
2017-06-22 00:00:00+00:00,295,ete
2017-06-23 00:00:00+00:00,308,ete
2017-06-24 00:00:00+00:00,148,ete
2017-06-25 00:00:00+00:00,132,ete
2017-06-26 00:00:00+00:00,415,ete
2017-06-27 00:00:00+00:00,363,ete
2017-06-28 00:00:00+00:00,325,ete
2017-06-29 00:00:00+00:00,292,ete
2017-06-30 00:00:00+00:00,295,ete
2017-07-01 00:00:00+00:00,203,ete
2017-07-02 00:00:00+00:00,151,ete
2017-07-03 00:00:00+00:00,561,ete
2017-07-04 00:00:00+00:00,403,ete
2017-07-05 00:00:00+00:00,359,ete
2017-07-06 00:00:00+00:00,326,ete
2017-07-07 00:00:00+00:00,339,ete
2017-07-08 00:00:00+00:00,256,ete
2017-07-09 00:00:00+00:00,197,ete
2017-07-10 00:00:00+00:00,535,ete
2017-07-11 00:00:00+00:00,373,ete
2017-07-12 00:00:00+00:00,337,ete
2017-07-13 00:00:00+00:00,441,ete
2017-07-14 00:00:00+00:00,252,ete
2017-07-15 00:00:00+00:00,182,ete
2017-07-16 00:00:00+00:00,153,ete
2017-07-17 00:00:00+00:00,486,ete
2017-07-18 00:00:00+00:00,323,ete
2017-07-19 00:00:00+00:00,399,ete
2017-07-20 00:00:00+00:00,316,ete
2017-07-21 00:00:00+00:00,291,ete
2017-07-22 00:00:00+00:00,218,ete
2017-07-23 00:00:00+00:00,166,ete
2017-07-24 00:00:00+00:00,450,ete
2017-07-25 00:00:00+00:00,282,ete
2017-07-26 00:00:00+00:00,325,ete
2017-07-27 00:00:00+00:00,250,ete
