,uic_code,code_gare,rg_libelle,alias_libelle_noncontraint,commune_libellemin,latitude_entreeprincipale_wgs84,longitude_entreeprincipale_wgs84
2679,0087491035,01523,GARES C POITOU CHARENTES,Saint-Savinien,Saint-Savinien,45.8759277,-0.6778775
2680,0087575365,01346,GARES C POITOU CHARENTES,Saint-Saviol,Saint-Saviol,46.1470046,0.2179
2681,0087592493,01175,GARES C LIMOUSIN,Saint-Sébastien,Saint-Sébastien,46.3859938,1.5466809
2682,0087354597,02102,GARES C PAYS DE LA LOIRE,Saint-Sébastien Frêne Rond,Saint-Sébastien-sur-Loire,47.1903914,-1.4957437
2683,0087354589,02103,GARES C PAYS DE LA LOIRE,Saint-Sébastien Pas Enchantés,Saint-Sébastien-sur-Loire,47.2069513,-1.5109069
2684,0087471169,01760,GARES C BRETAGNE,Saint-Senoux - Pléchâtel,Saint-Senoux,47.8977519,-1.7661904
2685,0087584615,01228,GARES B AQUITAINE,Saint-Seurin-sur-l'Isle,Saint-Seurin-sur-l'Isle,45.0114075,-0.0026606
2686,0087447714,01778,GARES C BASSE NORMANDIE,Saint-Sever,Noues de Sienne,48.843608,-1.0516979
2687,0087313684,02273,GARES B PICARDIE,Saint-Sulpice - Auteuil,Saint-Sulpice,49.3473824,2.1164133
2688,0087584722,01226,GARES C AQUITAINE,Saint-Sulpice - Izon,Saint-Sulpice-et-Cameyrac,44.9142742,-0.392135
2689,0087615344,00957,GARES B MIDI PYRENEES,Saint-Sulpice (Tarn),Saint-Sulpice-la-Pointe,43.775073,1.680702
2690,0087592345,01184,GARES C LIMOUSIN,Saint-Sulpice-Laurière,Saint-Sulpice-Laurière,46.0469183,1.4762218
2691,0087694174,00742,GARES C BOURGOGNE,Saint-Symphorien-de-Marmagne,Saint-Symphorien-de-Marmagne,46.8442215,4.3377542
2692,0087474312,01689,GARES C BRETAGNE,Saint-Thégonnec,Saint-Thégonnec Loc-Eguiner,48.4942082,-3.9483116
2693,0087761130,00179,GARES B RHONE ALPES,Saint-Vallier sur Rhône,Saint-Vallier,45.186395,4.814390
2694,0087721043,00592,GARES C RHONE,Saint-Victor - Thizy,Saint-Victor-sur-Rhins,46.0024781,4.2810245
