date,type,nb_objets
2018-02-28 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",832
2018-02-28 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",99
2018-02-28 00:00:00+00:00,"Vêtements, chaussures",912
2018-03-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1069
2018-03-31 00:00:00+00:00,"Articles d'enfants, de puériculture",78
2018-03-31 00:00:00+00:00,"Articles de sport, loisirs, camping",66
2018-03-31 00:00:00+00:00,Articles médicaux,47
2018-03-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2574
2018-03-31 00:00:00+00:00,"Bijoux, montres",57
2018-03-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",358
2018-03-31 00:00:00+00:00,Divers,127
2018-03-31 00:00:00+00:00,Instruments de musique,16
2018-03-31 00:00:00+00:00,"Livres, articles de papéterie",155
2018-03-31 00:00:00+00:00,Optique,361
2018-03-31 00:00:00+00:00,Parapluies,99
