,region,nb_objet,freq,n,date
184,Grand Est,311.0,6147367,5.0590765119440564e-05,2017
185,Hauts-de-France,469.0,12056422,3.8900429994902305e-05,2017
186,Normandie,202.0,1812054,0.0001114757065738659,2017
187,Nouvelle-Aquitaine,558.0,5506383,0.0001013369393302282,2017
188,Occitanie,293.0,3799770,7.710993033788888e-05,2017
189,Pays de la Loire,412.0,5149394,8.000941470005985e-05,2017
190,Provence-Alpes-Côte d'Azur,556.0,7260851,7.657504609308192e-05,2017
191,Île-de-France,1084.0,43624152,2.484862055312846e-05,2017
192,Auvergne-Rhône-Alpes,689.0,12937987,5.325403403172379e-05,2017
193,Bourgogne-Franche-Comté,113.0,2677676,4.220077410411118e-05,2017
194,Bretagne,143.0,956024,0.00014957783486607031,2017
195,Centre-Val de Loire,200.0,2113713,9.462022516774983e-05,2017
196,Grand Est,312.0,6147367,5.0753436389921086e-05,2017
197,Hauts-de-France,544.0,12056422,4.5121181060185186e-05,2017
198,Normandie,226.0,1812054,0.00012472034497868165,2017
199,Nouvelle-Aquitaine,557.0,5506383,0.00010115533191207367,2017
200,Occitanie,231.0,3799770,6.079315326980317e-05,2017
201,Pays de la Loire,466.0,5149394,9.049608555880556e-05,2017
202,Provence-Alpes-Côte d'Azur,572.0,7260851,7.877864454180372e-05,2017
203,Île-de-France,1043.0,43624152,2.3908774203794266e-05,2017
204,Auvergne-Rhône-Alpes,700.0,12937987,5.4104243573594564e-05,2017
205,Bourgogne-Franche-Comté,131.0,2677676,4.892302130653597e-05,2017
206,Bretagne,190.0,956024,0.00019873978059128223,2017
207,Centre-Val de Loire,203.0,2113713,9.603952854526607e-05,2017
208,Grand Est,356.0,6147367,5.79109722910638e-05,2017
